title;url;rating;num_reviews;num_students;duration;level;platform;instructor
Computer Engineering & C++: Electronics and Low Level Coding;https://www.udemy.com/course/computer_science/;4.0;51;0;14.0 hours;All Levels;Udemy;OCSALY Academy | 560.000+ Students
C++ Programming for Beginners;https://www.udemy.com/course/c-plus-plus-programming-beginners/;4.6;1107;0;20.0 hours;All Levels;Udemy;Prateek Narang Sr. Software Engineer Google, Coding Minutes
Intro to Data Science: QuickStart Guide + AI & ChatGPT Prize;https://www.udemy.com/course/intro-to-data-science/;4.5;8893;0;5.5 hours;Beginner;Udemy;Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency ​
Conquer the IB Diploma Computer Science Exam & IA (2026);https://www.udemy.com/course/ib-diploma-computer-science-exam-prep/;4.5;75;0;6.5 hours;All Levels;Udemy;John Iglar
How to Start a Career in Data Science;https://www.udemy.com/course/how-to-start-a-career-in-data-science/;4.7;630;0;4.5 hours;All Levels;Udemy;365 Careers, Ken Jee
Data Structures & Algorithms Essentials using C++;https://www.udemy.com/course/cpp-data-structures-algorithms-prateek-narang/;4.3;3758;0;28.0 hours;All Levels;Udemy;Prateek Narang Sr. Software Engineer Google, Coding Minutes
Computer Architecture & Organization Part 1 : Cache Memory;https://www.udemy.com/course/computer-architecture-computer-organization-course/;4.3;757;0;10.5 hours;All Levels;Udemy;Vignesh Sekar
Python for Machine Learning & Data Science Masterclass;https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/;4.7;18400;0;44.0 hours;All Levels;Udemy;Jose Portilla, Pierian Training
AI Agent Developer;https://www.coursera.org/specializations/ai-agents;4.8;9600;0;Specialization · 3 - 6 Months;Beginner;Coursera;Vanderbilt University
Artificial Intelligence Essentials;https://www.coursera.org/learn/artificial-intelligence-essentials;4.4;33;0;Course · 1 - 4 Weeks;Intermediate;Coursera;University of Pennsylvania
IBM Generative AI Engineering;https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering;4.6;98000;0;Professional Certificate · 3 - 6 Months;Beginner;Coursera;IBM
Google Prompting Essentials;https://www.coursera.org/specializations/prompting-essentials-google;4.8;6300;0;Specialization · 1 - 4 Weeks;Beginner;Coursera;Google
AI for Business: Generation & Prediction;https://www.coursera.org/learn/ai-for-business-generation-and-prediction;4.5;118;0;Course · 1 - 4 Weeks;Beginner;Coursera;Coursera
Microsoft Business Analyst;https://www.coursera.org/professional-certificates/microsoft-business-analyst;4.6;1500;0;Professional Certificate · 3 - 6 Months;Beginner;Coursera;Microsoft
Deep Learning;https://www.coursera.org/specializations/deep-learning;4.8;147000;0;Specialization · 3 - 6 Months;Intermediate;Coursera;DeepLearning.AI
Agentic AI and AI Agents for Leaders;https://www.coursera.org/specializations/ai-agents-for-leaders;4.8;9200;0;Specialization · 1 - 3 Months;Beginner;Coursera;Vanderbilt University
Exploring Artificial Intelligence Use Cases and Applications;https://www.coursera.org/learn/exploring-artificial-intelligence-use-cases-and-applications;4.5;231;0;Course · 1 - 4 Weeks;Beginner;Coursera;Amazon Web Services
IBM RAG and Agentic AI;https://www.coursera.org/professional-certificates/ibm-rag-and-agentic-ai;4.6;702;0;Professional Certificate · 3 - 6 Months;Advanced;Coursera;IBM
AI Foundations for Everyone;https://www.coursera.org/specializations/ai-foundations-for-everyone;4.7;35000;0;Specialization · 3 - 6 Months;Beginner;Coursera;IBM
Machine Learning;https://www.coursera.org/specializations/machine-learning-introduction;4.9;38000;0;Specialization · 1 - 3 Months;Beginner;Coursera;Multiple educators
Innovations in Investment Technology: Artificial Intelligence;https://www.coursera.org/learn/invest-tech;4.7;418;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of Michigan
AI Foundations for Business Professionals;https://www.coursera.org/specializations/ai-foundations-business-professionals;4.8;244;0;Specialization · 3 - 6 Months;Beginner;Coursera;Saïd Business School, University of Oxford
IBM Machine Learning;https://www.coursera.org/professional-certificates/ibm-machine-learning;4.6;3600;0;Professional Certificate · 3 - 6 Months;Intermediate;Coursera;IBM
AI Infrastructure and Operations Fundamentals;https://www.coursera.org/learn/ai-infrastructure-operations-fundamentals;4.6;463;0;Course · 1 - 4 Weeks;Beginner;Coursera;NVIDIA
Artificial Intelligence: Ethics & Societal Challenges;https://www.coursera.org/learn/ai-ethics;4.7;345;0;Course · 1 - 4 Weeks;Beginner;Coursera;Lund University
AI in Healthcare;https://www.coursera.org/specializations/ai-healthcare;4.7;2500;0;Specialization · 3 - 6 Months;Beginner;Coursera;Stanford University
Artificial Intelligence: an Overview;https://www.coursera.org/specializations/artificial-intelligence-overview;4.6;811;0;Specialization · 3 - 6 Months;Beginner;Coursera;Politecnico di Milano
Generative AI for Everyone;https://www.coursera.org/learn/generative-ai-for-everyone;4.8;4900;0;Course · 1 - 4 Weeks;Beginner;Coursera;DeepLearning.AI
Business and Marketing Strategies;https://www.coursera.org/specializations/uol-business-and-marketing-strategies;4.5;502;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of London
IBM Business Analyst;https://www.coursera.org/professional-certificates/ibm-business-analyst-professional-certificate;4.7;14000;0;Professional Certificate · 3 - 6 Months;Beginner;Coursera;IBM
Artificial Intelligence on Microsoft Azure;https://www.coursera.org/learn/artificial-intelligence-microsoft-azure;4.5;1000;0;Course · 1 - 4 Weeks;Beginner;Coursera;Microsoft
Introduction to Artificial Intelligence;https://www.coursera.org/learn/intro-to-artificial-intelligence;4.6;56;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of Illinois Urbana-Champaign
Generative AI Strategic Leader;https://www.coursera.org/specializations/generative-ai-strategic-leader;4.8;9100;0;Specialization · 1 - 3 Months;Beginner;Coursera;Vanderbilt University
AWS Artificial Intelligence Practitioner;https://www.coursera.org/learn/aws-artificial-intelligence-practitioner;4.4;13;0;Course · 1 - 3 Months;Beginner;Coursera;Amazon Web Services
AWS Generative AI Applications;https://www.coursera.org/professional-certificates/aws-generative-ai-applications;4.6;110;0;Professional Certificate · 1 - 3 Months;Beginner;Coursera;Amazon Web Services
AI Agents in LangGraph;https://www.coursera.org/projects/ai-agents-in-langgraph;4.7;268;0;Project · Less Than 2 Hours;Intermediate;Coursera;DeepLearning.AI
Build a computer vision app with Azure Cognitive Services;https://www.coursera.org/projects/build-a-computer-vision-app-with-azure-cognitive-services;4.5;506;0;Guided Project · Less Than 2 Hours;Intermediate;Coursera;Microsoft
GenAI Basics - How LLMs Work;https://www.coursera.org/projects/genai-basics-how-llms-work;3.9;34;0;Guided Project · Less Than 2 Hours;Beginner;Coursera;Duke University
ChatGPT for Beginners: Using AI for Market Research;https://www.coursera.org/projects/chatgpt-for-beginners-market-research-ai;4.4;93;0;Guided Project · Less Than 2 Hours;Beginner;Coursera;Coursera
Artificial Intelligence in Marketing;https://www.coursera.org/learn/uva-darden-artificial-intelligence-marketing;4.6;351;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of Virginia
Ethics of Artificial Intelligence;https://www.coursera.org/learn/ethics-of-artificial-intelligence;4.8;302;0;Course · 1 - 4 Weeks;Beginner;Coursera;Politecnico di Milano
Google Business Intelligence;https://www.coursera.org/professional-certificates/google-business-intelligence;4.8;7000;0;Professional Certificate · 3 - 6 Months;Advanced;Coursera;Google
Getting Started in Google Analytics;https://www.coursera.org/projects/getting-started-in-google-analytics;4.4;1500;0;Guided Project · Less Than 2 Hours;Beginner;Coursera;Coursera
AI Engineering;https://www.coursera.org/specializations/ai-engineering;4.5;303;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Scrimba
Introduction to Business Analysis Using Spreadsheets: Basics;https://www.coursera.org/projects/business-analysis-using-spreadsheets;4.3;1000;0;Guided Project · Less Than 2 Hours;Beginner;Coursera;Coursera
International Business Essentials;https://www.coursera.org/specializations/mba;4.6;2000;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of London
Introduction to Business;https://www.coursera.org/specializations/business-introduction;4.7;760;0;Specialization · 1 - 3 Months;Beginner;Coursera;University of California, Irvine
Introduction to Generative AI in Healthcare;https://www.coursera.org/learn/introduction-to-generative-ai-in-healthcare;4.2;45;0;Course · 1 - 3 Months;Beginner;Coursera;Coursera
Artificial Intelligence In Government Procurement;https://www.coursera.org/specializations/artificial-intelligence-in-government-procurement;4.3;10;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of Maryland, College Park
Artificial Intelligence and legal issues;https://www.coursera.org/learn/artificial-intelligence-and-legal-issues;4.5;134;0;Course · 1 - 4 Weeks;Beginner;Coursera;Politecnico di Milano
Big Data, Artificial Intelligence, and Ethics;https://www.coursera.org/learn/big-data-ai-ethics;4.6;698;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of California, Davis
CertNexus Certified Artificial Intelligence Practitioner;https://www.coursera.org/professional-certificates/certified-artificial-intelligence-practitioner;4.6;307;0;Professional Certificate · 3 - 6 Months;Intermediate;Coursera;CertNexus
Human-Centered Artificial Intelligence;https://www.coursera.org/learn/hcc-6600-human-centered-ai;4.3;14;0;Course · 1 - 3 Months;Intermediate;Coursera;Clemson University
AI in National Security: Integrating Artificial Intelligence into Public Sector Missions;https://www.coursera.org/learn/ai-national-security;4.6;128;0;Course · 1 - 4 Weeks;Beginner;Coursera;Special Competitive Studies Project
Finding, Sorting, & Filtering Data in Microsoft Excel;https://www.coursera.org/projects/finding-sorting-filtering-data-microsoft-excel;4.7;500;0;Guided Project · Less Than 2 Hours;Intermediate;Coursera;Coursera
Building Systems with the ChatGPT API;https://www.coursera.org/projects/building-systems-with-the-chatgpt-api-project;4.7;313;0;Project · Less Than 2 Hours;Beginner;Coursera;DeepLearning.AI
Multi AI Agent Systems with crewAI;https://www.coursera.org/projects/multi-ai-agent-systems-with-crewai;4.8;300;0;Project · Less Than 2 Hours;Beginner;Coursera;DeepLearning.AI
Artificial Intelligence (AI) Education for Teachers;https://www.coursera.org/learn/artificial-intelligence-education-for-teachers;4.7;948;0;Course · 1 - 3 Months;Beginner;Coursera;Macquarie University
Artificial Intelligence in Finance and Wealth Management;https://www.coursera.org/specializations/aimachinelearninginfinance;4.3;19;0;Specialization · 1 - 3 Months;Intermediate;Coursera;University of Illinois Urbana-Champaign
Build a website using Wix Artificial Design Intelligence;https://www.coursera.org/projects/build-website-using-wix-artificial-design-intelligence;4.2;74;0;Guided Project · Less Than 2 Hours;Beginner;Coursera;Coursera
Excel Skills for Business: Intermediate II;https://www.coursera.org/learn/excel-intermediate-2;4.8;8500;0;Course · 1 - 3 Months;Intermediate;Coursera;Macquarie University
Grow Your Business with Goldman Sachs 10,000 Women;https://www.coursera.org/learn/10k-women-1;4.8;1100;0;Course · 1 - 4 Weeks;Mixed;Coursera;Goldman Sachs
Fundamentals of International Business;https://www.coursera.org/learn/fundamentals-of-international-business;4.6;119;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of London
Excel Skills for Business;https://www.coursera.org/specializations/excel;4.9;63000;0;Specialization · 3 - 6 Months;Beginner;Coursera;Macquarie University
Small Business Marketing Using YouTube;https://www.coursera.org/projects/youtube-small-business-marketing;4.7;1400;0;Guided Project · Less Than 2 Hours;Beginner;Coursera;Coursera
Foundations of Business Strategy;https://www.coursera.org/learn/uva-darden-strategy101;4.8;3300;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of Virginia
Business and Financial Modeling;https://www.coursera.org/specializations/wharton-business-financial-modeling;4.5;11000;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of Pennsylvania
Business Analysis Fundamentals;https://www.coursera.org/learn/business-analysis-fundamentals;4.7;1000;0;Course · 1 - 4 Weeks;Beginner;Coursera;Microsoft
Business Analysis & Process Management;https://www.coursera.org/projects/business-analysis-process-management;4.5;7300;0;Guided Project · Less Than 2 Hours;Beginner;Coursera;Coursera
Business Strategy;https://www.coursera.org/specializations/business-strategy;4.8;4800;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of Virginia
Brand Management: Aligning Business, Brand and Behaviour;https://www.coursera.org/learn/brand;4.9;7800;0;Course · 1 - 3 Months;Beginner;Coursera;University of London
Strengthen Your Business Savvy;https://www.coursera.org/specializations/strengthen-your-business-savvy;4.8;29;0;Specialization · 1 - 3 Months;Intermediate;Coursera;Harvard Business Review
Basics of entrepreneurship: thinking and doing;https://www.coursera.org/learn/basics-of-entrepreneurship-thinking-and-doing;4.8;127;0;Course · 1 - 4 Weeks;Beginner;Coursera;ESSEC Business School
Business Foundations;https://www.coursera.org/specializations/wharton-business-foundations;4.7;26000;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of Pennsylvania
How to Start Your Own Business;https://www.coursera.org/specializations/start-your-own-business;4.5;1300;0;Specialization · 3 - 6 Months;Beginner;Coursera;Michigan State University
Entrepreneurship: Launching an Innovative Business;https://www.coursera.org/specializations/business-entrepreneurship;4.6;2300;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of Maryland, College Park
Music Business Foundations;https://www.coursera.org/learn/music-business-foundations;4.9;2700;0;Course · 1 - 4 Weeks;Mixed;Coursera;Berklee
Excel Skills for Business: Advanced;https://www.coursera.org/learn/excel-advanced;4.7;6200;0;Course · 1 - 3 Months;Intermediate;Coursera;Macquarie University
International Business;https://www.coursera.org/specializations/international-business;4.8;524;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of Colorado Boulder
Excel Skills for Business: Essentials;https://www.coursera.org/learn/excel-essentials;4.9;51000;0;Course · 1 - 3 Months;Beginner;Coursera;Macquarie University
Business Communication;https://www.coursera.org/specializations/business-communication;4.8;11000;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of Colorado Boulder
Business Analytics;https://www.coursera.org/specializations/business-analytics;4.6;18000;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of Pennsylvania
Certified Business Analysis Professional™ (CBAP®);https://www.coursera.org/specializations/certified-business-analysis-professional-cbap;4.7;328;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Starweaver
SAP Business Analyst;https://www.coursera.org/professional-certificates/sap-business-analyst;4.5;152;0;Professional Certificate · 3 - 6 Months;Beginner;Coursera;SAP
Small Business Marketing Using Facebook;https://www.coursera.org/projects/facebook-small-business-marketing;4.6;271;0;Guided Project · Less Than 2 Hours;Mixed;Coursera;Coursera
Generative AI in Business;https://www.coursera.org/specializations/generative-ai-in-business;4.8;112;0;Specialization · 1 - 3 Months;Beginner;Coursera;University of Michigan
Strategic Business Analytics;https://www.coursera.org/specializations/strategic-analytics;4.4;1300;0;Specialization · 3 - 6 Months;Advanced;Coursera;ESSEC Business School
Business English Communication Skills;https://www.coursera.org/specializations/business-english;4.7;4900;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Washington
Business Impact;https://www.coursera.org/learn/business-impact;4.8;58;0;Course · 1 - 4 Weeks;Beginner;Coursera;Duke University
Effective Business Presentations with Powerpoint;https://www.coursera.org/learn/powerpoint-presentations;4.5;1100;0;Course · 1 - 4 Weeks;Beginner;Coursera;PwC
Relationship Management and Business Development;https://www.coursera.org/learn/relationship-management-and-business-development;4.4;253;0;Course · 1 - 4 Weeks;Intermediate;Coursera;Starweaver
Business Statistics and Analysis;https://www.coursera.org/specializations/business-statistics-analysis;4.7;13000;0;Specialization · 3 - 6 Months;Beginner;Coursera;Rice University
Computer Science: Algorithms, Theory, and Machines;https://www.coursera.org/learn/cs-algorithms-theory-machines;4.7;746;0;Course · 1 - 3 Months;Intermediate;Coursera;Princeton University
Fundamentals of Computing;https://www.coursera.org/specializations/computer-fundamentals;4.8;4100;0;Specialization · 3 - 6 Months;Beginner;Coursera;Rice University
Business Intelligence (BI) Essentials;https://www.coursera.org/learn/business-intelligence-essentials;4.7;410;0;Course · 1 - 3 Months;Beginner;Coursera;IBM
Business Management Essentials;https://www.coursera.org/specializations/business-management-essentials;4.7;364;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Illinois Tech
Business Analytics with Excel: Elementary to Advanced;https://www.coursera.org/learn/business-analytics-excel;4.8;4000;0;Course · 1 - 3 Months;Intermediate;Coursera;Johns Hopkins University
Business Writing;https://www.coursera.org/learn/writing-for-business;4.8;5000;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of Colorado Boulder
High-Impact Business Writing;https://www.coursera.org/learn/business-writing;4.5;3900;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of California, Irvine
Business Strategy;https://www.coursera.org/learn/strategy-business;4.8;2100;0;Course · 1 - 4 Weeks;Intermediate;Coursera;University of Illinois Urbana-Champaign
Lesson | Business English Skills: Introducing Yourself in Business Settings;https://www.coursera.org/learn/lesson-business-english-skills-introducing-yourself-in-business-settings;4.5;281;0;Course · 1 - 4 Weeks;Intermediate;Coursera;University of Washington
Foundations of Business Intelligence;https://www.coursera.org/learn/foundations-of-business-intelligence;4.8;2100;0;Course · 1 - 4 Weeks;Advanced;Coursera;Google
Advanced Business Analytics;https://www.coursera.org/specializations/data-analytics-business;4.6;5200;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Colorado Boulder
Generative AI for Executives and Business Leaders;https://www.coursera.org/specializations/generative-ai-for-executives-and-business-leaders;4.7;668;0;Specialization · 1 - 3 Months;Intermediate;Coursera;IBM
IBM Business Intelligence (BI) Analyst;https://www.coursera.org/professional-certificates/bi-analyst;4.7;16000;0;Professional Certificate · 3 - 6 Months;Beginner;Coursera;IBM
Business Process Modelling;https://www.coursera.org/learn/business-process-modelling;4.7;118;0;Course · 1 - 4 Weeks;Beginner;Coursera;Starweaver
Fundamentals of Business Analysis;https://www.coursera.org/learn/fundamentals-of-business-analysis;4.6;90;0;Course · 1 - 4 Weeks;Beginner;Coursera;Starweaver
Launch Your Online Business;https://www.coursera.org/learn/launch-online-business;4.7;877;0;Course · 1 - 4 Weeks;Beginner;Coursera;The State University of New York
Foundations of Data Structures and Algorithms;https://www.coursera.org/specializations/boulder-data-structures-algorithms;4.7;915;0;Specialization · 3 - 6 Months;Advanced;Coursera;University of Colorado Boulder
Programming in C;https://www.coursera.org/learn/programming-c;4.5;95;0;Course · 1 - 4 Weeks;Intermediate;Coursera;University of Michigan
Introduction to Business Analysis;https://www.coursera.org/learn/introduction-to-business-analysis;4.7;402;0;Course · 1 - 4 Weeks;Beginner;Coursera;IBM
Excel Skills for Business: Intermediate I;https://www.coursera.org/learn/excel-intermediate-1;4.9;18000;0;Course · 1 - 3 Months;Intermediate;Coursera;Macquarie University
Business Analytics;https://www.coursera.org/specializations/analytics;4.6;1200;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of Illinois Urbana-Champaign
IBM AI Foundations for Business;https://www.coursera.org/specializations/ibm-ai-foundations-for-business;4.7;99000;0;Specialization · 1 - 3 Months;Beginner;Coursera;IBM
Fundamentals of Business Management;https://www.coursera.org/learn/fundamentals-of-business-management;4.7;18;0;Course · 1 - 4 Weeks;Beginner;Coursera;Board Infinity
Business Strategy: Business Model Canvas Analysis with Miro;https://www.coursera.org/projects/canvas-analysis-miro;4.5;146;0;Guided Project · Less Than 2 Hours;Intermediate;Coursera;Coursera
AI, Business & the Future of Work;https://www.coursera.org/learn/ai-business-future-of-work;4.6;2400;0;Course · 1 - 4 Weeks;Beginner;Coursera;Lund University
Business English;https://www.coursera.org/specializations/english-for-business;4.7;2400;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Arizona State University
European Business Law;https://www.coursera.org/specializations/european-business-law;4.8;1900;0;Specialization · 3 - 6 Months;Beginner;Coursera;Lund University
Business English for Non-Native Speakers;https://www.coursera.org/specializations/business-english-speakers;4.5;2600;0;Specialization · 3 - 6 Months;Beginner;Coursera;The Hong Kong University of Science and Technology
Accelerated Computer Science Fundamentals;https://www.coursera.org/specializations/cs-fundamentals;4.7;3500;0;Specialization · 1 - 3 Months;Intermediate;Coursera;University of Illinois Urbana-Champaign
Programming Fundamentals;https://www.coursera.org/learn/programming-fundamentals;4.7;7000;0;Course · 1 - 4 Weeks;Beginner;Coursera;Duke University
Computational Thinking for Problem Solving;https://www.coursera.org/learn/computational-thinking-problem-solving;4.7;1400;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of Pennsylvania
Mathematics for Computer Science;https://www.coursera.org/learn/mathematics-for-computer-science;4.2;271;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of London
Coding for Kids: Code in Scratch, HTML, Python & AI + More;https://www.udemy.com/course/programming-from-scratch/;4.6;368;0;11.0 hours;Beginner;Udemy;Craig Blewett, Joshua Blewett
AP CSP Computer Science Principles and Python Programming;https://www.udemy.com/course/ap-csp-computer-science-principles-and-python/;4.4;67;0;3.5 hours;Beginner;Udemy;Dr Codie
Introduction to Discrete Mathematics for Computer Science;https://www.coursera.org/specializations/discrete-mathematics;4.5;3700;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of California San Diego
Introduction to Computer Science and Programming;https://www.coursera.org/specializations/introduction-computer-science-programming;4.2;1500;0;Specialization · 1 - 3 Months;Beginner;Coursera;University of London
The Business Case for ESG;https://www.coursera.org/learn/the-business-case-for-esg;4.4;17;0;Course · 1 - 4 Weeks;Beginner;Coursera;Saïd Business School, University of Oxford
International Business I;https://www.coursera.org/learn/international-business;4.7;2300;0;Course · 1 - 3 Months;Mixed;Coursera;University of New Mexico
Business Growth Strategy;https://www.coursera.org/learn/uva-darden-business-growth-strategy;4.7;712;0;Course · 1 - 4 Weeks;Mixed;Coursera;University of Virginia
Lesson | Business English Skills: How to Navigate Tone, Formality, and Directness in Emails;https://www.coursera.org/learn/business-english-skills-how-to-navigate-tone-formality-directness-in-emails;4.5;242;0;Course · 1 - 4 Weeks;Intermediate;Coursera;University of Washington
C for Everyone, Part 1: Programming Fundamentals;https://www.coursera.org/learn/c-for-everyone;4.5;6800;0;Course · 1 - 3 Months;Beginner;Coursera;University of California, Santa Cruz
Security and Ethical Hacking;https://www.coursera.org/specializations/security-and-ethical-hacking;4.5;13;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Colorado Boulder
Network Systems: Principles in Practice;https://www.coursera.org/specializations/network-systems-principles-in-practice;4.6;106;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Colorado Boulder
Cloud Computing;https://www.coursera.org/specializations/cloud-computing;4.3;2100;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Illinois Urbana-Champaign
Foundations of Computer Science;https://www.coursera.org/learn/computer-science-foundations;4.6;113;0;Course · 1 - 3 Months;Beginner;Coursera;LearnQuest
Mathematical Thinking in Computer Science;https://www.coursera.org/learn/what-is-a-proof;4.4;2300;0;Course · 1 - 3 Months;Beginner;Coursera;University of California San Diego
Algorithms;https://www.coursera.org/specializations/algorithms;4.8;6000;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Stanford University
Computer Communications;https://www.coursera.org/specializations/computer-communications;4.6;3400;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Colorado System
Algorithms, Data Collection, and Starting to Code;https://www.coursera.org/learn/algorithms-data-collection-code;4.6;377;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of Colorado System
计算机组成 Computer Organization;https://www.coursera.org/learn/jisuanji-zucheng;4.8;483;0;Course · 1 - 3 Months;Mixed;Coursera;Peking University
Introduction to Computing Systems;https://www.coursera.org/learn/introduction-to-computing-systems-public;4.3;10;0;Course · 1 - 3 Months;Beginner;Coursera;Birla Institute of Technology & Science, Pilani
Introduction to Computer Programming;https://www.coursera.org/learn/introduction-to-computer-programming;4.1;928;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of London
Fundamentals of Computer Network Security;https://www.coursera.org/specializations/computer-network-security;4.0;590;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Colorado System
Introduction to Software, Programming, and Databases;https://www.coursera.org/learn/introduction-software-programming-and-databases;4.7;461;0;Course · 1 - 3 Months;Beginner;Coursera;IBM
How Computers Work;https://www.coursera.org/learn/how-computers-work;4.6;576;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of London
An Introduction to Logic for Computer Science;https://www.coursera.org/learn/an-introduction-to-logic-in-computer-science;4.6;32;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of Leeds
C++: Data Structures and Algorithms;https://www.coursera.org/specializations/codio-cpp-dsa;4.6;16;0;Specialization · 1 - 3 Months;Intermediate;Coursera;Codio
Applied Cryptography;https://www.coursera.org/specializations/applied-crypto;4.6;910;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Colorado System
Computing, Ethics, and Society;https://www.coursera.org/specializations/computing-ethics-society;4.5;49;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of Colorado Boulder
Introduction to Computer Information Systems;https://www.coursera.org/specializations/introduction-computer-infosystems;4.6;317;0;Specialization · 1 - 3 Months;Beginner;Coursera;University of California, Irvine
Computer Hardware and Software;https://www.coursera.org/learn/computer-hardware-software;4.6;254;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of California, Irvine
Conquer the Cambridge IGCSE Computer Science Exam;https://www.udemy.com/course/conquer-cambridge-igcse-0478-computer-science-exam/;3.6;11;0;5.0 hours;All Levels;Udemy;John Iglar
Python Data Analysis: NumPy & Pandas Masterclass;https://www.udemy.com/course/python-pandas/;4.6;2594;0;13.5 hours;All Levels;Udemy;Maven Analytics • 1,500,000 Learners, Chris Bruehl
Python A-Z™: Python For Data Science With Real Exercises!;https://www.udemy.com/course/python-coding/;4.6;30205;0;11.0 hours;All Levels;Udemy;Kirill Eremenko, SuperDataScience Team, Ligency ​
Healthcare Trends for Business Professionals;https://www.coursera.org/specializations/healthcare-trends-business-professionals;4.5;214;0;Specialization · 3 - 6 Months;Beginner;Coursera;Northeastern University
Quality Improvement in Healthcare;https://www.coursera.org/specializations/quality-improvement-healthcare;4.8;139;0;Specialization · 1 - 3 Months;Beginner;Coursera;Imperial College London
Computer Science And Programming Fundamentals;https://www.udemy.com/course/fundamentals-of-computer-science-and-programming/;4.3;132;0;7.0 hours;All Levels;Udemy;Sanjay Sathe
Fundamental Concepts of Mathematics for Computer Science;https://www.udemy.com/course/fundamental-concepts-of-mathematics-for-computer-science/;4.3;4;0;2.0 hours;Intermediate;Udemy;Edu Career College
Deep Learning with TensorFlow 2.0;https://www.udemy.com/course/machine-learning-with-tensorflow-for-business-intelligence/;4.5;4115;0;6.0 hours;All Levels;Udemy;365 Careers, 365 Careers Team
Introduction to Computer Systems;https://www.udemy.com/course/introduction-to-computer-systems/;4.2;12;0;6.0 hours;Beginner;Udemy;Daniel Bullen
Python for Data Science and Machine Learning Bootcamp;https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/;4.6;156627;0;25.0 hours;All Levels;Udemy;Jose Portilla, Pierian Training
Operating Systems from scratch - Part 1;https://www.udemy.com/course/operating-systems-from-scratch-part1/;4.6;5860;0;8.5 hours;All Levels;Udemy;Vignesh Sekar
The Art of Doing: Python Projects to Master the Fundamentals;https://www.udemy.com/course/the-art-of-doing/;4.6;1064;0;39.5 hours;Beginner;Udemy;Michael Eramo
AP Computer Science A - Java Concepts and Fundamentals;https://www.udemy.com/course/ap-computer-science-a-java-concepts-and-fundamentals/;4.7;190;0;3.0 hours;Beginner;Udemy;Jarrett Cornelison
Computer Basics With MS Office;https://www.udemy.com/course/computer-basics-with-ms-office/;4.3;891;0;22.0 hours;All Levels;Udemy;Urs Ravi I Vedanta Educational Academy
Computer Science MetaBootcamp: Beginner to Intermediate 2026;https://www.udemy.com/course/odysy-cs-bootcamp/;4.5;367;0;7.0 hours;Beginner;Udemy;Odysy Academy
Programming in Java: A Hands-on Introduction;https://www.coursera.org/specializations/hands-on-java;4.5;197;0;Specialization · 3 - 6 Months;Beginner;Coursera;Codio
Data Structures and Algorithms;https://www.coursera.org/specializations/data-structures-algorithms-tsinghua;2.8;39;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Tsinghua University
Java: Data Structures and Algorithms;https://www.coursera.org/specializations/codio-java-dsa;3.5;11;0;Specialization · 1 - 3 Months;Intermediate;Coursera;Codio
